店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
一只酸奶牛(日月广场店),150312430,酸奶,,0,,5,13,9.8,国兴大道,5315,20.015794,110.349466,琼山区国兴大道8号日月广场一号下沉广场L层,-1,,,9.8元酸奶紫米露，11.8元暖暖奶香紫米，11.8元暖暖奶香芋泥，15元卡乐比酸奶杯双杯，15.8元芒来芒趣酸奶多，15.8元刨酸奶系列3选1，15.8元草莓朵朵酸奶多，15.8元酸奶多肉葡萄，23.8元紫米露+草莓酸奶，24.8元燕麦+红豆，27.8元酸奶杨枝甘露套餐，28.8元桃之夭夭（2杯）;,周一至周日 11:00-22:00,18789898402,106709,,,False,1,355,106709,False,False
龙虾阁(南沙店),6848079,小龙虾,龙虾阁,1254551,,5,50,19.8,龙昆北路,5312,20.018523,110.333519,龙华区南大桥下南沙路口凯盛广场A区101号,,,,单人餐19.8元，双人餐88元起，双人餐88元起，3人餐99元，2-3人餐118元，2-3人餐168元，2-3人餐218元;89.9代100元;,周一至周日 10:00-04:00,0898-66762387/13379882387,104534,正宗盱眙龙虾空降海口啦！！！龙虾阁劲推多种口味龙虾，食材从江苏新鲜空运。并聘用获得多项大奖的名师烹饪，把龙虾的美味发挥的淋漓尽致。盱眙龙虾之所以有名，是与它的烹制方法有很大的关系，首先它的配料是独一无二的，即十三香（数十种中草药组成）；另外盱眙大小餐馆在将龙虾上桌时不是用的碗、碟之类的餐具，而是用的面盒、脸盒等；由于前几年螃蟹价格具高不下，对于普通百姓只好以虾代蟹过把瘾了，所以盱眙龙虾又被戏称为“螃蟹助理”。 但螃蟹始终不能和正宗的龙虾相提并论。 其奥妙何在?看着红红的一盆虾子，热气腾腾，香味扑鼻，诱人食欲。吃的时候，麻、辣、鲜、美、香、甜、嫩、酥、肥、亮，令人欲罢不能。吃后余味不绝，绕手三日，叫人无法忘记。本店还**研制了蒜香、清蒸、麻辣、干煸等十几种口味来满足不同食客的味蕾需求。 爱吃美味的您千万不要错过此次美食之旅……开动双手，空出肚皮来享受吧,,False,1,164,104534,True,False
华莱士·全鸡汉堡(五西路店),6172733,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.8,12,6.9,海甸岛,5313,20.062134,110.328113,美兰区海甸五西路宝真广场一楼B档2号铺,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:00-24:00,17330878583,97542,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,257,97542,False,False
原味主张椰子鸡(名门广场店),2385485,海南菜,原味主张椰子鸡,294139,http://p1.meituan.net/poi/1070b024580bce43a71dd949b9f1a82827184.png,5,80,9.9,蓝天路沿线,5313,20.024058,110.353215,美兰区美兰区蓝天路名门广场北区5楼（近五指山路）,5,,,9.9元海南椰子布丁，9.9元单人新品·海南青椰，双人餐188元，3-4人餐268元，4-6人餐328元;90代100元;,周一至周日 11:00-14:00 17:00-21:30,0898-65369929,83273,没有多余的添加，无需繁琐的修饰， 只有靠近自然的心境，和原味的清新， 由于原味，所以养生；因为新鲜，所以健康,,False,0,152,83273,True,False
跳跳香辣坊机器人主题餐厅(五指山店),112395754,四川火锅,,0,,3.7,49,69,人民公园,5312,20.03103,110.34698,美兰区五指山路3号1楼（爱语阳光楼下）,,,,3人餐69.6元，4-5人餐89.9元，2-3人餐99.8元，4-6人餐119.9元;69代100元;,周一至周日 17:00-04:00,0898-65312284,83070,,,False,1,332,83070,False,False
顶呱呱香辣火锅店(朱云店),186239025,火锅,,0,,5,42,12.12,红城湖,5315,19.995494,110.351293,琼山区朱云路与高登西路交汇处（朱云恩公寓2楼）,,,,2-4人餐12.1元，双人餐69.9元，4人餐89.9元起，2-3人餐89.9元，4-6人餐99.9元，3-5人餐129元;17代20元，88代100元;,周一至周日 11:00-04:00,0898-65812602,81196,,,False,1,1739,81196,False,False
至尊牛扒(大润发店),4854854,牛排,至尊牛扒,945584,http://p1.meituan.net/poi/c59044ab4d152c1f676862888fe9098232328.png,3.6,46,52,国兴大润发,5313,20.017414,110.37453,美兰区国兴大道大润发一楼（拾味馆隔壁）,,,免费提供200个停车位,单人餐52元起，双人餐128元起;88代100元;,周一至周日 11:00-20:30,18319491240/0898-65351707,80949,至尊牛扒是一家以经营牛扒，比萨，自助餐为主的连锁餐饮店；餐厅坚持走“价格实惠亲民，产品健康美味”的路线，分店所到之地，立即引发食客排队揽位狂潮；牛扒我们采用进口纯天然无污染的优质牛肉，加以秘制腌料慢火精工煎制，再辅于香浓黑胡椒汁，让您回味无穷；比萨采用美国最新进口原装设备机器，配于昂贵质优的芝士粒，让您垂涎三尺！自助餐40多种产品，不限时不限量，让您尽情享受。,,False,1,99,80949,True,False
秘密cafe(解放西店),94871496,咖啡厅,,0,,4.2,25,22.8,解放西/泰龙城,5312,20.03872,110.33854,龙华区解放西个体大世界广场旁边尊宝披萨楼上4楼（九小对面，老鼠城旁边）,,,,22.8元秘密美味下午茶，28元秘密咖啡单人简餐套餐;40代50元，88代100元;,周一至周日 09:00-24:00,0898-66111313,80019,,,False,0,215,80019,True,False
皇点泡芙,1558677,面包甜点,皇点蛋糕,1882340,,3.8,10,1.99,人民公园,5312,20.03621,110.33802,龙华区大同路4号泰龙商城1楼老小吃街中段,,,,蛋挞1.9元，6.5元皇点蓝莓奶昔，8.9元皇点法式泡芙，皇点生日蛋糕58元;,周一至周日 08:30-10:30 15:30-17:00,0898-66226363,79253,皇点，酥甜的外皮及多种口味的内馅，选用优质面粉与奶油，满足您的味蓄与心灵 ，人气商品脆皮泡芙，真材实料，懂得品味的您是不容错过的。,,False,0,11,79253,True,False
黄金海景大酒店旋转餐厅,1177028,综合自助,黄金海景大酒店,1195519,,3.6,116,53,滨海大道东段,5314,20.031073,110.317994,龙华区滨海大道67号（黄金海景大酒店31楼）,,,免费停车,其他53元，单人午餐108元，单人晚餐158元;,周一至周日 07:30-10:30 11:30-14:00 18:00-21:00,0898-68519336,78429,黄金海景大酒店三十一楼旋转观光餐厅是海南**的旋转观光餐厅。餐厅现已全新装修，开始纳客迎宾！在这里，您无需走动，便可以360度远眺大海和美丽的椰城，蓝天白云与窗外的美景交相呼应，让您尽收眼底。餐厅设有大型海洋水族观赏鱼缸，各种各样的热带海水鱼和姿态各异的珊瑚，看着鱼儿们游来游去，让您仿佛置身于海洋世界，心情会无比的舒畅，给您的就餐环境增添不一样的乐趣！ 旋转餐厅秉承提供精品美食的宗旨，采用优质放心的食材，为您全天候提供开放式国际美食自助餐！当您置身于黄金旋转餐厅之中，会被琳琅满目的美食所吸引，百余种特色美味无限量自取，款款都是精品哦！现磨本地特色咖啡、酒水饮料、冰淇淋无限量畅享，给人无从抗拒的诱惑。 餐厅同时可容纳160人就餐，是您家人团聚、朋友聚会、商务洽谈、西式婚宴、生日派对的优选！使阁下尽享美好时光,,False,0,173,78429,True,False
朋派烤肉自助料理(鹏晖店),95930433,综合自助,,0,,4.5,50,69,海甸岛,5313,20.057598,110.349318,美兰区和平大道22号鹏晖商业广场4楼（观光电梯4楼出口直入10米左侧）,4,,,单人晚餐69元起;,周一至周日 10:00-22:00,0898-66265598,75773,,,False,0,70,75773,True,False
豪约客牛排(龙华店),5064053,中西餐厅,豪约客中西餐厅,1702967,,4.6,50,65,人民公园,5312,20.03014,110.33305,龙华区龙华路50号汇丰商厦二层B001号（海南省医学院附属医院对面）,2,,,单人餐65元，双人餐128元，4人餐239元，6人餐369元，8人餐489元;142.5代150元;,周一至周日 10:00-23:30,0898-66500178,75673,豪约客经营项目：中西式套餐、无限量自助水果沙拉吧、牛排、商务简餐、乐尚茶饮、咖啡。 餐品定位为：健康、绿色、时尚、快捷、简约； 豪约客将西式牛排的做法进行改良，历经几十道工序，融入十几味天然名贵香料腌制12小时，并采用中国本土烹饪手法，精选中国内蒙、东北、山东的优良黄牛肉做为牛排食材，牛排制作全程手工切配、高温烹调，并保证牛肉肉质细嫩爽口、汁多味鲜，精心调配的黑胡椒酱与牛排的肌理香味混融一体，健康、自然回味无穷，让您吃出真正传统，豪约客大厨从业十五年，只为做出“中国好牛排”！！！ 豪约客保证：每一份西餐牛排都精选新鲜的食材制作主食，配有意大利面、通心粉、西式煎蛋、无限量缤纷自助沙拉吧、西式浓汤、麦香红茶、西式糕点、椰蓉面包等等，每一份中式餐品均采用新鲜食材，传统烹饪料理手法制作的主菜、泰国米饭、开胃小菜、蚝油青菜、干贝蒸蛋、原盅蒸汤、麦香红茶、无限量缤纷自选水果沙拉等等可口的美食加营养科学的配餐，美味更健康，关爱顾客朋友您的每一餐！,,False,1,67,75673,True,False
小龙坎老火锅(国贸店),150569726,四川火锅,小龙坎老火锅,2883441,http://p0.meituan.net/poi/108c210fe9a4ae636e2711fa68841da394319.png,4.4,90,75,京华城,5312,20.025428,110.319312,龙华区国贸路嘉陵大厦2楼（苏荷酒吧楼上）,2,,,75代100元，89.9代100元;,周一至周日 11:00-02:00,0898-32195888,75671,,,False,1,179,75671,False,False
跳跳香辣坊(义龙路店),4578565,四川火锅,,0,,3.9,43,89.9,滨海大道东段,5314,20.026868,110.334807,龙华区义龙西路24号远东雅居首层（义龙大酒店附近，）,,,,3-4人餐89.9元，2-3人餐98元，4-6人餐119.9元;,周一至周日 17:00-03:30,0898-66775590,74672,,,False,0,179,74672,True,False
潮欣牛肉店(南亚店),2467902,潮汕牛肉火锅,潮欣牛肉店,765597,,4.6,50,150,南亚广场,5313,20.029979,110.349716,美兰区龙舌路10号龙福大厦第1层1B3-4号,,,免费停车,双人餐150元，3-4人餐252元，5-6人餐358元，8人餐418元，10人餐498元;,周一至周日 10:00-01:00,0898-65323189/0898-65351812,66563,潮欣牛肉店于1996年开业以来，深受各界朋友支持与厚爱，首家为东湖店，现因租约期满已结束营业，请各位朋友认准潮欣品牌。 本店是专营全牛系列火锅为主的餐饮名店，食材新鲜优质，汤料上乘，物美价廉，口味正宗，潮汕牛肉丸，新鲜牛肉，请到潮欣牛肉店。,,False,1,71,66563,True,False
玛格利塔(新华南路店),6648829,披萨,玛格丽塔,1351163,http://p0.meituan.net/poi/0e925ec4a5330a532b2417bfb265b92036387.png,4.2,17,10.9,滨海大道东段,5314,20.040172,110.343084,龙华区新华南路55号（解放西路与新华南路交叉口东南角）,,,免费提供5个停车位,10.9元原味蛋挞，16.9元休闲小吃套餐，19.9元鸡肉披萨套餐B，19.9元美团单人套餐A，23.9元现烤比萨套餐，29.9元普通装现烤披萨;,周一至周日 08:00-02:00,0898-66103178,65429,,,False,1,48,65429,True,False
季季香酒楼(龙昆南路店),1484747,川菜,,0,,4.6,68,66,龙昆南路,5312,20.005632,110.340353,琼山区龙昆南路69号（和信广场对面）,,,免费提供20个停车位,双人餐66元，3-4人餐88元，3-4人餐98元;,周一至周日 11:00-15:00 17:00-04:00,0898-66720300,65071,季季香餐饮有限公司是一家以经营香辣火锅、湖北菜、粤菜、新派川·湘菜、早晚茶 婚宴接待的综合性专业餐饮店和餐饮项目开发之企业。 海口季季香餐饮有限公司成立年来，于2009年发展首家形象店，此店位于海口市龙昆南路69号(魅力100旁150米)，总经营面积约3500平方米，设有22个包厢；一楼大厅可同时满足400人的大型用餐；一楼外场可同时满足300人用餐。二楼大厅可同时满足500人的大型婚宴接待用餐；三楼家庭、会议等、大型用餐包箱。经过多年的精心研究，将香辣、火锅、湖北菜、粤菜、新派川·湘菜、系精髓，汇集、研制、形成海口市季季香独具核心竞争力的产品。我们凭借独特的经营理念、成熟的管理模式，不断更新菜式以及强有力的后续支持。建立了一套完善的餐饮管理体系，拥有一支和谐而具战斗力的管理团队，通过标准化和制度化管理实现厨房和楼面管理精益求精，用优质的服务和精湛的出品使得海口季季香酒楼宾客迎门、高朋满座。为了答谢广大群众对季季香的支持我们店现在又增加了正宗重庆老火,,False,0,226,65071,True,False
快乐爱斯米牛排自助(吾悦广场店),113705028,综合自助,,0,,4.1,75,59.9,吾悦广场,5312,19.977838,110.33996,龙华区迎宾大道18号新城吾悦广场4楼4001号（1号门必胜客旁观光梯直达4楼即是）,4,,,单人午餐59.9元，单人午/晚餐67.9元，单人午餐79.9元，单人午/晚餐87.9元;,"周六,周日 11:00-14:30 17:00-22:00  周一至周五 11:00-14:30 17:00-21:30",0898-66837583,64931,,,False,0,541,64931,True,False
咱外婆家的菜(新城吾悦店),114680845,融合菜,,0,,5,47,92.9,吾悦广场,5312,19.9777,110.339596,龙华区迎宾大道18号新城吾悦广场3楼3027-1铺面,3,,,92.9代100元;,周一至周日 11:00-14:00 17:00-21:00,0898-65812705,64645,,,False,1,155,64645,False,False
法兰度西餐厅果木牛扒(海口上邦店),4018896,牛排,,0,,5,91,19.9,上邦百汇城,5312,20.021659,110.323025,龙华区上邦百汇城2号楼3层,3,,,单人餐19.9元，双人餐99.9元起，3人餐269.9元;90代100元，499.9代600元;,周一至周日 10:30-22:30,0898-68515699,64641,,,False,0,101,64641,True,False
新海府粥城(红城湖店),6083521,粥,新海府粥城,29891,,4.1,50,88,红城湖,5315,20.004694,110.350821,琼山区红城湖路57号（百乐城KTV旁）,,,,88代100元;,周一至周日 全天,0898-65809898,64079,新海府粥城是一家主要经营海南特色粥品、卤水、烧腊、小炒及小吃于一体的餐饮连锁机构。“汇集各地风味名肴，弘扬海南饮食文化”是新海府的宗旨；“实在做人，用心做事”是新海府的服务宗旨。新海府以特色精美的菜肴，以热情周到的服务，为顾客所青睐。,,False,1,143,64079,True,False
一只酸奶牛(友谊阳光城店),164049344,酸奶,一只酸奶牛,2879666,http://p1.meituan.net/poi/51924c62dafd89577d329ed83c928cf337089.png,5,13,9.8,新友谊阳光城,5312,20.02343,110.323947,龙华区金龙路友谊阳光城6楼2号电梯出口处（上邦百汇城对面）,6,,,9.8元酸奶紫米露，11.8元暖暖奶香紫米，11.8元暖暖奶香芋泥，15元卡乐比酸奶杯双杯，15.8元芒来芒趣酸奶多，15.8元刨酸奶系列3选1，15.8元草莓朵朵酸奶多，15.8元酸奶多肉葡萄，23.8元紫米露+草莓酸奶，24.8元燕麦+红豆，27.8元酸奶杨枝甘露套餐，28.8元桃之夭夭（2杯）;,周一至周日 09:30-22:30,18889674894,64053,,,False,1,446,64053,False,False
牛局炭火烧肉(日月广场店),118933185,日式烧烤/烤肉,,0,,5,85,90,国兴大道,5315,20.015113,110.346363,琼山区国兴大道8号日月广场西区西6天蝎座4楼免税店楼上,4,,,双人餐188元起，4人餐368元起;90代100元;,周一至周日 11:30-14:00 17:30-21:00,0898-32884525,62827,,,False,0,492,62827,False,False
SOFTSTONE软石(名门店),2429667,面包蛋糕,softstone软石,2875515,,4.4,26,66,名门广场,5313,20.023003,110.351826,美兰区蓝天路名门广场北区1、2楼（正门入口处右侧）,2,,免费停车,,周一至周日 07:30-22:30,0898-65221811,61379,软石设在名门广场的一、二楼，你很少会看见这样的餐厅，首层专做饼店和各式饮品，二层是以烘焙为主题的时尚西式餐厅，两者分布于一间广场的上下层，来去方便，动线自如。据了解，这种以烘焙为主营内容的餐厅在全国也是十分少有的。源自于法文 boulanger，原意系 “巨大的鹅卵石 ”，可能是法国人觉得个头太大的鹅卵石状如面包，所以就以此命名，这大概也能解释法兰西对美食的狂热程度。软石就像是一块块石头状的面包，或曰面包所构成的石头。softstoneboulanger在法国还有另一层意思：面包店，而且是特指前店后厂的面包店，这代表着新鲜、温度和最直接便利的服务。我们为什么叫softstoneboulanger在法国还有另一层意思：面包店，而且是特指前店后厂的面包店，这代表着新鲜、温度和最直接便利的服务。,,False,1,25,61379,True,False
匠子烤鱼(上邦店),4536872,烤鱼,匠子烤鱼,2699714,http://p0.meituan.net/poi/a60aaeb6e15861760710694484fa4a9a55005.png,4.8,67,99,金龙路,5312,20.021327,110.322101,龙华区金龙路上邦百汇城3号楼2楼,2,,,99代110元;,"周六,周日 11:00-21:30  周一至周五 11:00-14:30 17:00-21:30",0898-68530711,60588,,,False,1,92,60588,True,False
华莱士·全鸡汉堡(海垦店NO.3),1421441,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.5,14,8.9,金牛岭公园周边,5312,20.004349,110.306339,龙华区海垦路滨濂村四里12号,,,免费提供5个停车位,8.9元鸡米花，12.9元单人套餐1，12.9元单人套餐2，13.9元小吃套餐2，13.9元小吃套餐1，19元单人餐，22元薯条，22.9元双人套餐，28.9元双人餐，32元双人餐，33.9元豪华炸鸡桶，40.8元双堡炸鸡桶;,周一至周日 09:00-00:30,0898-68982528,60077,,,False,1,80,60077,True,False
嘉香苑茶餐厅,40503292,茶餐厅,,0,,3.9,28,8.5,忠介路,5315,20.000962,110.35586,琼山区府城镇中山路6号三楼商铺,,,免费提供5个停车位,8.5元本店招牌特色饮品，双人餐55元，3-4人餐98元，2-3人餐98元;88代100元;,周一至周日 07:00-22:30,0898-31381659,59766,,,False,1,119,59766,True,False
原味主张椰子鸡(望海国际总店),1182237,海南菜,原味主张椰子鸡,294139,http://p1.meituan.net/poi/1070b024580bce43a71dd949b9f1a82827184.png,3.8,82,9.9,望海国际广场,5313,20.03072,110.344967,美兰区海秀路8号望海国际广场6楼150,6,,,9.9元海南椰子布丁，9.9元单人新品·海南青椰，双人餐188元，3-4人餐268元;90代100元;,周一至周日 11:00-16:00 17:00-21:30,0898-66516266,59116,没有多余的添加，无需繁琐的修饰， 只有靠近自然的心境，和原味的清新， 由于原味，所以养生；因为新鲜，所以健康,,False,0,366,59116,True,False
华莱士·全鸡汉堡(长流如意茶店),41993009,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.5,24,6.9,假日海滩/西海岸,5314,20.01147,110.201747,秀英区长流镇长升路42号（长流镇政府对面）,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:00-24:00,0898-68711152,58896,,,False,1,135,58896,False,False
茶人屯(海甸岛店),2402466,茶餐厅,避风阁茶人屯,1044533,,5,30,9.9,海甸岛,5313,20.052692,110.341634,美兰区海甸三东路京海花园一楼A101铺面,,,,9.9元夏日新品5选一，28元烧鹅饭;79.9代100元;,周一至周日 07:00-24:00,0898-66227066/66267897,58173,避风阁茶人屯在海南的餐饮行业中已树立起了属于自己的餐饮独特的品牌，并拥有了一定规模和固定的老顾客，在阳光明媚下的避风阁这几个大字非常的夺目，让您无法无视的存在。这里是您休闲、娱乐、聚餐的好场所。店内每时每刻都洋溢着一种安逸而温暖的气息，在下午的时候，很多附近写字楼的人员都喜欢忙里偷闲，来这里轻叹一杯炭烧咖啡，或者约上一些生意伙伴，在分享小点心香甜的同时，拟下一份严谨的协议。 ,,False,0,36,58173,True,False
薇薇安千层蛋糕(泰龙城店),112124863,面包蛋糕,,0,,5,19,16.9,解放西/泰龙城,5312,20.036721,110.337978,龙华区大同路泰龙城小吃街B18号,-1,,,16.9元千层蛋糕切件，75元蛋糕3选1，122.9元蛋糕8选1;29.9代38元;,周一至周日 09:00-23:00,18389553762,58079,,,False,1,43,58079,False,False
味道呱呱叫火锅饭店(美兰分店),159156432,四川火锅,,0,,4.1,46,69.9,白龙路沿线,5313,20.027934,110.362007,美兰区白龙南路51-1号（美府大厦首层）,,,,双人餐69.9元，3-4人餐89.9元;,周一至周日 全天,0898-65207789,56422,,,False,0,303,56422,True,False
华莱士·全鸡汉堡(NO.38学院店),5045038,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.5,13,8.9,城西/学院路,5312,19.98486,110.33151,龙华区学院路与学院东街交叉口城西商业广场B区11号加-2铺面,,,免费提供5个停车位,8.9元鸡米花，12.9元单人套餐1，12.9元单人套餐2，13.9元小吃套餐2，13.9元小吃套餐1，19元单人餐，22元薯条，22.9元双人套餐，28.9元双人餐，32元双人餐，33.9元豪华炸鸡桶，40.8元双堡炸鸡桶;,周一至周日 09:00-01:00,0898-66962667,56234,,,False,1,131,56234,True,False
匠子烤鱼(友谊店),41467903,烤鱼,匠子烤鱼,2699714,http://p0.meituan.net/poi/a60aaeb6e15861760710694484fa4a9a55005.png,3.9,66,99,解放西/泰龙城,5312,20.037813,110.337257,龙华区龙华路友谊广场6楼,6,,,99代110元;,周一至周日 11:00-14:00 17:00-21:00,0898-66269377,55955,,,False,1,101,55955,True,False
避风苑时尚火锅(高登东分店),5872227,港式火锅,,0,,4,29,55,忠介路,5315,19.99866,110.36129,琼山区府城街道高登东街28号二楼（华莱士对面）,,,,双人餐55元，2-3人餐75元，3-4人餐98元;88代100元;,周一至周日 11:00-22:00,0898-32876082,55635,,,False,1,72,55635,True,False
妯娌老鸭粉丝汤,69489667,粉丝汤,,0,,4.4,12,12.9,解放西/泰龙城,5312,20.036957,110.337869,龙华区大同路4号泰龙城后广场第42号铺面,1,,,12.9元鸭血粉丝汤一份;16.8代20元;,周一至周日 12:00-21:00,18976514666/13637541136,55494,,,False,1,62,55494,True,False
咔卡时尚茶餐厅,40115597,茶餐厅,,0,,3.9,24,19.8,大园路,5315,19.99403,110.35202,琼山区大园路141号（广合大厦2楼）,,,免费提供10个停车位,19.8元美味单人餐，26.8元超值单人餐，39.9元小包畅饮套餐，2-3人餐49.9元，49.9元中包畅饮套餐，3-4人餐79.9元;,周一至周日 08:00-24:00,0898-65905832,55454,,,False,0,45,55454,True,False
